ts_event,open,high,low,close,volume
2022-01-03 09:00:00+00:00,178.32,178.37,177.73,178.08,19883
2022-01-03 10:00:00+00:00,178.08,178.24,177.91,178.16,12479
2022-01-03 11:00:00+00:00,178.17,178.46,178.17,178.45,18557
2022-01-03 12:00:00+00:00,178.42,178.47,178.1,178.25,11522
2022-01-03 13:00:00+00:00,178.22,178.45,177.61,177.68,28389
2022-01-03 14:00:00+00:00,177.64,180.93,177.51,180.5,2979715
2022-01-03 15:00:00+00:00,180.46,181.42,180.28,180.96,2185450
2022-01-03 16:00:00+00:00,180.95,181.77,180.39,181.48,1532092
2022-01-03 17:00:00+00:00,181.47,182.16,181.08,181.69,1223360
2022-01-03 18:00:00+00:00,181.7,182.88,181.64,182.37,1262274
2022-01-03 19:00:00+00:00,182.37,182.46,181.67,181.875,1028832
2022-01-03 20:00:00+00:00,181.87,182.19,181.195,182.0,2930055
2022-01-03 21:00:00+00:00,182.0,182.3,181.7,182.14,6988062
2022-01-03 22:00:00+00:00,182.1,182.16,182.02,182.14,6341
2022-01-03 23:00:00+00:00,182.15,182.18,181.91,181.91,11706
2022-01-04 09:00:00+00:00,182.2,182.96,182.2,182.89,21881
2022-01-04 10:00:00+00:00,182.9,183.38,182.84,183.27,20854
2022-01-04 11:00:00+00:00,183.27,183.39,183.03,183.1,17503
2022-01-04 12:00:00+00:00,183.06,183.14,182.32,182.75,54157
2022-01-04 13:00:00+00:00,182.75,182.9,182.53,182.77,39561
2022-01-04 14:00:00+00:00,182.76,182.9,181.55,182.27,3361112
2022-01-04 15:00:00+00:00,182.26,182.67,180.97,181.03,3095989
2022-01-04 16:00:00+00:00,181.05,181.05,179.47,179.815,2963090
2022-01-04 17:00:00+00:00,179.81,180.37,179.2,179.32,1531982
2022-01-04 18:00:00+00:00,179.32,179.97,179.12,179.45,1282831
2022-01-04 19:00:00+00:00,179.45,180.17,179.32,180.0,1526513
2022-01-04 20:00:00+00:00,180.0,180.5,179.62,179.69,2935271
2022-01-04 21:00:00+00:00,179.71,179.78,179.41,179.45,5997288
2022-01-04 22:00:00+00:00,179.46,179.54,179.45,179.48,2184
2022-01-04 23:00:00+00:00,179.5,179.54,179.33,179.35,4141
2022-01-05 09:00:00+00:00,179.35,179.81,179.35,179.71,18271
2022-01-05 10:00:00+00:00,179.7,180.25,179.56,179.7,9297
2022-01-05 11:00:00+00:00,179.66,179.66,179.33,179.49,11220
2022-01-05 12:00:00+00:00,179.43,179.64,179.14,179.25,14056
2022-01-05 13:00:00+00:00,179.27,179.41,178.76,179.41,24556
2022-01-05 14:00:00+00:00,179.39,180.17,178.03,179.28,2320359
2022-01-05 15:00:00+00:00,179.29,179.48,177.97,178.73,1705908
2022-01-05 16:00:00+00:00,178.735,179.43,178.53,178.81,964070
2022-01-05 17:00:00+00:00,178.81,179.24,178.26,178.35,966785
2022-01-05 18:00:00+00:00,178.34,178.55,177.67,178.04,1076022
2022-01-05 19:00:00+00:00,178.03,178.72,176.1,176.505,2437705
2022-01-05 20:00:00+00:00,176.51,176.835,174.67,174.93,6681715
2022-01-05 21:00:00+00:00,174.93,175.2,174.44,174.45,7267107
2022-01-05 22:00:00+00:00,174.45,174.74,174.4,174.7,5848
2022-01-05 23:00:00+00:00,174.71,175.01,174.1,175.01,11376
2022-01-06 09:00:00+00:00,174.9,174.9,173.75,174.09,41089
2022-01-06 10:00:00+00:00,174.1,174.64,173.81,173.89,40952
2022-01-06 11:00:00+00:00,173.91,174.25,173.13,173.59,27860
2022-01-06 12:00:00+00:00,173.59,173.84,172.85,173.17,57869
2022-01-06 13:00:00+00:00,173.16,173.66,173.08,173.55,92146
2022-01-06 14:00:00+00:00,173.54,175.29,172.11,173.99,4279107
2022-01-06 15:00:00+00:00,173.96,174.3,172.175,173.54,3225821
2022-01-06 16:00:00+00:00,173.55,174.23,172.745,172.98,1902167
2022-01-06 17:00:00+00:00,172.98,173.65,172.58,172.9,1429985
2022-01-06 18:00:00+00:00,172.895,173.42,172.7,173.38,1082737
2022-01-06 19:00:00+00:00,173.37,173.71,172.77,172.895,1184105
2022-01-06 20:00:00+00:00,172.89,173.37,171.64,172.01,3344762
2022-01-06 21:00:00+00:00,172.01,172.44,171.93,172.22,5465766
2022-01-06 22:00:00+00:00,172.23,172.42,172.13,172.35,4469
2022-01-06 23:00:00+00:00,172.35,172.64,172.28,172.63,18787
2022-01-07 09:00:00+00:00,171.92,172.49,171.28,172.29,19460
2022-01-07 10:00:00+00:00,172.29,172.82,172.16,172.74,14338
2022-01-07 11:00:00+00:00,172.74,173.33,172.56,172.92,18333
2022-01-07 12:00:00+00:00,172.97,173.09,172.4,172.4,14426
2022-01-07 13:00:00+00:00,172.51,173.03,171.28,171.61,198184
2022-01-07 14:00:00+00:00,171.61,174.13,171.48,173.72,2689413
2022-01-07 15:00:00+00:00,173.72,173.78,171.03,171.43,1917079
2022-01-07 16:00:00+00:00,171.44,172.71,171.05,172.52,1417305
2022-01-07 17:00:00+00:00,172.52,172.62,171.77,172.28,859097
2022-01-07 18:00:00+00:00,172.3,172.6,172.055,172.29,756713
2022-01-07 19:00:00+00:00,172.29,173.1,171.87,173.09,990205
2022-01-07 20:00:00+00:00,173.09,173.685,171.94,172.22,2815929
2022-01-07 21:00:00+00:00,172.25,172.25,171.74,172.02,6272844
2022-01-07 22:00:00+00:00,172.0,172.04,171.77,171.86,4394
2022-01-07 23:00:00+00:00,171.85,172.08,171.84,172.04,7837
2022-01-10 09:00:00+00:00,172.34,172.6,172.15,172.45,19166
2022-01-10 10:00:00+00:00,172.4,172.52,171.6,171.75,16138
2022-01-10 11:00:00+00:00,171.75,171.83,171.36,171.66,17961
2022-01-10 12:00:00+00:00,171.66,171.78,170.0,170.0,43952
2022-01-10 13:00:00+00:00,170.05,170.25,169.0,169.23,158553
2022-01-10 14:00:00+00:00,169.23,171.75,168.67,169.48,5119992
2022-01-10 15:00:00+00:00,169.47,169.72,168.175,168.7,2985189
2022-01-10 16:00:00+00:00,168.7,170.01,168.45,169.075,1941292
2022-01-10 17:00:00+00:00,169.07,170.14,168.29,169.655,1545239
2022-01-10 18:00:00+00:00,169.65,171.44,169.53,171.16,1854666
2022-01-10 19:00:00+00:00,171.16,171.66,170.35,170.69,1725658
