ts_event,open,high,low,close,volume
2022-01-03 09:00:00+00:00,476.68,477.22,476.37,477.22,11553
2022-01-03 10:00:00+00:00,477.24,477.75,477.12,477.75,9454
2022-01-03 11:00:00+00:00,477.76,478.14,477.76,478.07,18554
2022-01-03 12:00:00+00:00,478.03,478.06,477.33,477.41,61975
2022-01-03 13:00:00+00:00,477.39,477.49,476.53,476.53,84260
2022-01-03 14:00:00+00:00,476.55,477.72,473.85,474.91,1829820
2022-01-03 15:00:00+00:00,474.94,476.78,474.77,476.17,1338267
2022-01-03 16:00:00+00:00,476.16,476.25,474.45,475.35,961487
2022-01-03 17:00:00+00:00,475.34,475.99,475.03,475.6,576008
2022-01-03 18:00:00+00:00,475.6,476.77,475.35,476.74,675278
2022-01-03 19:00:00+00:00,476.73,477.68,476.6,477.23,911850
2022-01-03 20:00:00+00:00,477.22,477.84,476.65,477.76,2552077
2022-01-03 21:00:00+00:00,477.77,477.88,477.47,477.56,325046
2022-01-03 22:00:00+00:00,477.6,477.68,477.54,477.6,2999
2022-01-03 23:00:00+00:00,477.67,477.75,477.4,477.4,4646
2022-01-04 09:00:00+00:00,478.41,478.74,478.41,478.68,7923
2022-01-04 10:00:00+00:00,478.85,479.64,478.81,479.54,8350
2022-01-04 11:00:00+00:00,479.47,479.83,479.38,479.46,6333
2022-01-04 12:00:00+00:00,479.4,479.45,478.66,479.06,38360
2022-01-04 13:00:00+00:00,479.02,479.57,478.93,479.35,66666
2022-01-04 14:00:00+00:00,479.35,479.98,479.06,479.67,1053633
2022-01-04 15:00:00+00:00,479.68,479.75,477.52,477.62,1240363
2022-01-04 16:00:00+00:00,477.63,477.99,476.43,477.49,1093983
2022-01-04 17:00:00+00:00,477.47,477.95,476.71,476.8,561445
2022-01-04 18:00:00+00:00,476.81,477.32,475.59,475.72,527038
2022-01-04 19:00:00+00:00,475.72,477.56,475.69,477.42,1048408
2022-01-04 20:00:00+00:00,477.42,478.96,477.38,477.5,2406442
2022-01-04 21:00:00+00:00,477.52,477.65,477.25,477.47,271843
2022-01-04 22:00:00+00:00,477.35,477.54,477.35,477.39,18932
2022-01-04 23:00:00+00:00,477.38,477.54,476.9,477.04,53687
2022-01-05 09:00:00+00:00,477.02,477.74,476.92,477.54,9295
2022-01-05 10:00:00+00:00,477.6,477.94,477.3,477.4,10050
2022-01-05 11:00:00+00:00,477.31,477.37,476.99,477.22,12793
2022-01-05 12:00:00+00:00,477.28,477.46,476.85,477.05,16719
2022-01-05 13:00:00+00:00,477.09,477.52,476.74,477.39,101768
2022-01-05 14:00:00+00:00,477.41,477.65,476.14,477.21,1199269
2022-01-05 15:00:00+00:00,477.22,477.98,476.75,477.29,950980
2022-01-05 16:00:00+00:00,477.3,477.395,476.3,476.56,793867
2022-01-05 17:00:00+00:00,476.55,477.25,475.875,475.95,881793
2022-01-05 18:00:00+00:00,475.955,476.13,475.31,475.85,813021
2022-01-05 19:00:00+00:00,475.84,476.91,471.12,471.7,2852926
2022-01-05 20:00:00+00:00,471.7,471.7,468.285,468.38,4835758
2022-01-05 21:00:00+00:00,468.39,469.09,468.12,468.4,657389
2022-01-05 22:00:00+00:00,468.34,468.48,468.29,468.45,23216
2022-01-05 23:00:00+00:00,468.4,469.04,467.5,469.0,45720
2022-01-06 09:00:00+00:00,468.46,468.49,467.6,468.2,13693
2022-01-06 10:00:00+00:00,468.29,469.42,468.09,468.69,22288
2022-01-06 11:00:00+00:00,468.78,469.17,468.03,468.27,19042
2022-01-06 12:00:00+00:00,468.27,468.92,467.87,468.3,43701
2022-01-06 13:00:00+00:00,468.28,468.95,468.11,468.46,104393
2022-01-06 14:00:00+00:00,468.49,470.395,466.81,467.05,1807997
2022-01-06 15:00:00+00:00,467.04,469.72,465.44,468.73,2445437
2022-01-06 16:00:00+00:00,468.73,469.985,468.03,469.22,1183175
2022-01-06 17:00:00+00:00,469.22,470.8,468.685,469.57,911307
2022-01-06 18:00:00+00:00,469.56,469.975,468.41,469.095,704734
2022-01-06 19:00:00+00:00,469.05,469.68,468.28,469.4,895089
2022-01-06 20:00:00+00:00,469.39,470.16,467.09,467.92,2837880
2022-01-06 21:00:00+00:00,467.92,468.71,467.8,468.62,546115
2022-01-06 22:00:00+00:00,468.51,468.67,468.51,468.66,8884
2022-01-06 23:00:00+00:00,468.74,469.18,468.74,469.16,16245
2022-01-07 09:00:00+00:00,467.46,468.84,467.24,468.43,16951
2022-01-07 10:00:00+00:00,468.49,469.25,468.18,469.01,18648
2022-01-07 11:00:00+00:00,469.02,469.21,468.56,468.56,23722
2022-01-07 12:00:00+00:00,468.69,469.2,468.23,468.29,26786
2022-01-07 13:00:00+00:00,468.34,469.29,466.33,466.97,231500
2022-01-07 14:00:00+00:00,467.0,469.2,466.73,468.66,1545654
2022-01-07 15:00:00+00:00,468.65,468.76,464.66,465.31,2102976
2022-01-07 16:00:00+00:00,465.27,468.09,464.69,467.65,1560148
2022-01-07 17:00:00+00:00,467.73,467.8,466.47,467.25,664833
2022-01-07 18:00:00+00:00,467.26,467.68,466.59,466.89,515102
2022-01-07 19:00:00+00:00,466.93,467.73,466.1,467.465,804139
2022-01-07 20:00:00+00:00,467.46,467.98,465.92,466.12,1887804
2022-01-07 21:00:00+00:00,466.13,466.71,465.95,466.0,299966
2022-01-07 22:00:00+00:00,466.01,466.29,465.9,466.0,9695
2022-01-07 23:00:00+00:00,466.0,466.06,465.93,466.01,720
2022-01-10 09:00:00+00:00,465.86,466.81,465.83,466.24,9122
2022-01-10 10:00:00+00:00,466.13,466.8,465.72,465.8,5480
2022-01-10 11:00:00+00:00,465.92,465.99,464.95,465.65,6829
2022-01-10 12:00:00+00:00,465.67,465.78,462.73,462.75,85284
2022-01-10 13:00:00+00:00,462.77,463.53,462.62,462.97,103016
2022-01-10 14:00:00+00:00,462.96,463.26,459.02,459.36,1962657
2022-01-10 15:00:00+00:00,459.33,459.58,456.6,457.77,3271470
2022-01-10 16:00:00+00:00,457.77,460.17,457.09,459.49,2071511
2022-01-10 17:00:00+00:00,459.47,460.18,457.95,459.24,1567725
2022-01-10 18:00:00+00:00,459.23,462.17,459.1,461.88,1875004
2022-01-10 19:00:00+00:00,461.89,463.86,461.69,462.97,1647892
2022-01-10 20:00:00+00:00,462.99,465.74,461.59,465.53,3829583
2022-01-10 21:00:00+00:00,465.53,465.74,465.28,465.51,641400
2022-01-10 22:00:00+00:00,465.51,465.89,465.44,465.67,18113
2022-01-10 23:00:00+00:00,465.68,466.08,465.32,465.8,14154
2022-01-11 09:00:00+00:00,466.14,467.91,466.14,467.57,16465
2022-01-11 10:00:00+00:00,467.59,468.05,467.3,467.42,9657
2022-01-11 11:00:00+00:00,467.33,467.48,466.84,466.88,12253
2022-01-11 12:00:00+00:00,466.84,467.24,466.24,466.26,49021
2022-01-11 13:00:00+00:00,466.34,466.74,465.4,465.43,131123
2022-01-11 14:00:00+00:00,465.44,465.47,462.05,462.86,1903533
2022-01-11 15:00:00+00:00,462.86,464.97,462.35,463.41,2054713
2022-01-11 16:00:00+00:00,463.45,468.05,463.33,467.55,1468735
2022-01-11 17:00:00+00:00,467.55,467.95,466.67,467.77,593035
2022-01-11 18:00:00+00:00,467.76,468.57,466.99,468.46,595951
2022-01-11 19:00:00+00:00,468.46,469.38,467.69,468.89,862986
2022-01-11 20:00:00+00:00,468.88,469.85,468.54,469.73,2743887
2022-01-11 21:00:00+00:00,469.72,469.96,469.58,469.8,405496
2022-01-11 22:00:00+00:00,469.67,469.79,469.6,469.7,19591
2022-01-11 23:00:00+00:00,469.7,469.93,469.56,469.59,17015
2022-01-12 09:00:00+00:00,468.95,470.36,468.91,470.3,12952
2022-01-12 10:00:00+00:00,470.4,470.5,469.92,470.44,9630
2022-01-12 11:00:00+00:00,470.5,470.64,470.17,470.17,8542
2022-01-12 12:00:00+00:00,470.14,470.56,469.83,470.18,36392
2022-01-12 13:00:00+00:00,470.2,472.2,470.13,472.09,288097
2022-01-12 14:00:00+00:00,472.14,472.68,470.89,472.62,1296118
2022-01-12 15:00:00+00:00,472.64,473.2,470.12,470.75,1580472
2022-01-12 16:00:00+00:00,470.75,471.52,468.95,470.98,1313614
2022-01-12 17:00:00+00:00,471.0,471.86,470.25,471.7,705435
2022-01-12 18:00:00+00:00,471.71,471.76,470.18,470.36,695235
2022-01-12 19:00:00+00:00,470.36,471.18,469.79,470.92,840255
2022-01-12 20:00:00+00:00,470.93,471.67,470.14,471.06,2240322
